"nutritionUID","nutritionName","nutritionDGoal","nutritionDUL","nutritionDisplayUnits","additionalNames","hebrewDisplayName","isDisplayed"
"1","energy","1910","-1000","calories",,"אנרגיה","1"
"2","protein","100","-1000","gram","proteins","חלבונים","1"
"3","carbohydrate","252","-1000","gram","carbohydrates","פחמימות","1"
"4","sugars","-1","-1000","gram",,"מתוכן סוכרים","1"
"5","total_lipid_fat","50","-1000","gram","fat","שומנים","1"
"6","fatty_acids_total_saturated","3","-1000","gram",,"מתוכם שומן רווי","1"
"7","cholesterol","-1","-1000","miliGram",,"כולסטרול","1"
"8","sodium","1.5","-1000","miliGram",,"נתרן","1"
"9","fiber_total_dietary","38","-1000","gram","dietary_fiber","סיבים תזונתיים","1"
"10","water","-1","-1000","gram",,"מים","1"
"11","vitamin_a","0.0009","-1000","microGram",,"ויטמין A","1"
"12","vitamin_b","-1","-1000","miliGram",,"סה""כ ויטמין B","1"
"13","vitamin_b1","0.0012","-1000","miliGram",,"ויטמין B1","1"
"14","vitamin_b2","0.0013","-1000","miliGram",,"ויטמין B2","1"
"15","vitamin_b3","0.016","-1000","miliGram",,"ויטמין B3 - ניאצין","1"
"16","choline","0.55","-1000","miliGram",,"כולין","1"
"17","vitamin_b5","0.005","-1000","miliGram",,"ויטמין B5","1"
"18","vitamin_b6","0.0013","-1000","miliGram",,"ויטמין B6","1"
"19","vitamin_b7","0.00003","-1000","microGram",,"ויטמין B7","1"
"20","vitamin_b9_folic_acid","0.0004","-1000","microGram","vitamin_b9","חומצה פולית - ויטמין B9","1"
"21","vitamin_b12","0.0000024","-1000","microGram",,"ויטמין B12","1"
"22","vitamin_c","0.09","-1000","miliGram",,"ויטמין C","1"
"23","vitamin_d","0.000015","-1000","microGram",,"ויטמין D","1"
"24","vitamin_e","0.015","-1000","miliGram",,"ויטמין E","1"
"25","vitamin_k","0.00012","-1000","microGram",,"ויטמין K","1"
"26","calcium","1","-1000","miliGram",,"סידן","1"
"27","iron","0.008","-1000","miliGram",,"ברזל","1"
"28","magnesium","0.42","-1000","miliGram",,"מגנזיום","1"
"29","phosphorus","0.7","-1000","miliGram",,"זרחן","1"
"30","zinc","0.011","-1000","miliGram",,"אבץ","1"
"31","potassium","4.7","-1000","miliGram",,"אשלגן","1"
"32","polyunsaturated","95.5","-1000","gram",,"חומצות שומן רב בלתי רוויות","1"
"33","omega3","1.6","-1000","gram","alpha_linolenic_acid","חומצה אלפא לינולנית-אומגה 3","1"
"34","omega6","17","-1000","gram","linoleic_acid","חומצה לינולאית-אומגה 6","1"
"35","monounsaturated","-1","-1000","gram",,"חומצות שומן חד בלתי רוויות","1"
"36","omega9","-1","-1000","gram",,"חומצת שומן אולאית-אומגה 9","1"
"37","lycopene","0.008","-1000","miliGram",,"ליקופן","1"
"38","chloride","2.3","-1000","gram",,"כלוריד","1"
"39","chromium","0.000035","-1000","microGram",,"כרום","1"
"40","copper","0.0009","-1000","microGram",,"נחושת","1"
"41","fluoride","0.004","-1000","miliGram",,"פלואוריד","1"
"42","iodine","0.00015","-1000","microGram",,"יוד","1"
"43","manganese","0.0023","-1000","microGram",,"מנגן","1"
"44","molybdenum","0.000045","-1000","microGram",,"מוליבדן","1"
"45","selenium","0.000055","-1000","microGram",,"סלניום","1"
