"standard_name","add_name1","add_name2"
"calories","",""
"microGram","ug",""
"miliGram","mg",""
"gram","",""
"tspn","",""
"energy","",""
"protein","proteins",""
"carbohydrate","carbohydrates",""
"sugars","",""
"total_lipid_fat","total_fat","fat"
"fatty_acids_total_saturated","fat_total_saturated",""
"cholesterol","",""
"sodium","",""
"fiber_total_dietary","fiber","fiber_total"
"water","",""
"vitamin_a","",""
"vitamin_b","",""
"vitamin_b1","thiamin",""
"vitamin_b2","riboflavin",""
"vitamin_b3","niacin",""
"vitamin_b4","choline",""
"vitamin_b5","pantothenic_acid",""
"vitamin_b6","pyridoxine",""
"vitamin_b7","biotin",""
"vitamin_b9_folic_acid","folate",""
"vitamin_b12","cobalamin",""
"vitamin_c","ויטמין C","nutrition"
"vitamin_d","ויטמין D","nutrition"
"vitamin_e","ויטמין E","nutrition"
"vitamin_k","ויטמין K","nutrition"
"calcium","סידן","nutrition"
"iron","ברזל","nutrition"
"magnesium","מגנזיום","nutrition"
"phosphorus","זרחן","nutrition"
"zinc","אבץ","nutrition"
"potassium","אשלגן","nutrition"
"polyunsaturated","חומצות שומן רב בלתי רוויות","nutrition"
"omega3","חומצה אלפא לינולנית-אומגה 3","nutrition"
"omega6","חומצה לינולאית-אומגה 6","nutrition"
"monounsaturated","חומצות שומן חד בלתי רוויות","nutrition"
"omega9","חומצת שומן אולאית-אומגה 9","nutrition"
"lycopene","ליקופן","nutrition"
